Feature,Model value
DAYS_BIRTH,0.779572
EXT_SOURCE_2,0.38481238
PREV_DAYS_DECISION_MAX,0.2948549
BURO_DAYS_CREDIT_MAX,0.26837784
BURO_DAYS_CREDIT_MIN,0.21667361
PREV_CNT_PAYMENT_MEAN,0.16327189
DAYS_ID_PUBLISH,0.13843714
AMT_REQ_CREDIT_BUREAU_YEAR,0.11430619
BURO_STATUS_0_MEAN_MEAN,0.11360087
BURO_CREDIT_TYPE_Microloan_MEAN,0.11104988
WEEKDAY_APPR_PROCESS_START_MONDAY,0.07165217
AMT_REQ_CREDIT_BUREAU_QRT,0.057295762
BURO_CREDIT_DAY_OVERDUE_MEAN,0.055202167
NAME_FAMILY_STATUS_Single / not married,0.044318303
BURO_CNT_CREDIT_PROLONG_SUM,0.01691613
